SvyDate,EnuPartner,EnuSupervisorName,EnuName,EnuSex,ADMIN0Name,ADMIN1Name,ADMIN2Name,ADMIN3Name,ADMIN4Name,RESPConsent,PAsstWFPRecCashYN1Y,PAsstWFPRecInKindYN1Y,PAsstWFPRecCapBuildYN1Y,RESPName,RESPLastName,RESPAge,RESPSex,RESPRelationHHH,RESPRelationHHH_oth,FreeResp,CallBack,EnuComments,CallBestH,phonenum_1,HHFFAPart,HHAssetProtect,HHAssetWaterAccess,HHAssetProduct,HHAssetAccess,HHAssetEnv,HHTrainingAsset,HHAssetDecHardship,ABIaCalcProtect,ABIbCalcWaterAccess,ABIcCalcProduct,ABIdCalcAccess,ABIeCalcEnvBenefit,ABIfCalcTraining,ABIgCalcDHardship,start,end,today,deviceid,instanceID,_id,_uuid,_submission_time,_date_modified,_tags,_notes,_version,_duration,_submitted_by,_last_edited_by,_total_media,_media_count,_media_all_received,_xform_id
2026-08-11,1,1,1,0,1,1,1,1,1,1,1,0,0,n/a,n/a,24,0,200,n/a,n/a,n/a,n/a,n/a,n/a,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,2026-08-11T11:32:53.033+02:00,2026-08-11T11:33:45.711+02:00,2026-08-11,enketo.moda.wfp.org:PLOVOaSrnpIVCwLW,uuid:c0df9fec-a6ca-4c89-89f3-297f0760df7a,92651711,c0df9fec-a6ca-4c89-89f3-297f0760df7a,2026-08-11T09:33:45.920214+00:00,2026-08-11T09:33:45.982922+00:00,,,202608110932,52.0,laramoreschi,,0,0,True,391655
2026-08-11,1,1,1,1,1,1,1,1,1,1,n/a,n/a,n/a,n/a,n/a,30,1,100,n/a,n/a,n/a,n/a,n/a,n/a,1,0,0,1,1,0,0,9999,0,0,1,1,0,0,0,2026-08-11T11:33:45.722+02:00,2026-08-11T11:36:15.177+02:00,2026-08-11,enketo.moda.wfp.org:PLOVOaSrnpIVCwLW,uuid:9f4170d5-e83c-4d50-8d8d-aab06f8af9f0,92651954,9f4170d5-e83c-4d50-8d8d-aab06f8af9f0,2026-08-11T09:36:15.702379+00:00,2026-08-11T09:36:15.757500+00:00,,,202608110932,150.0,laramoreschi,,0,0,True,391655
2026-08-11,1,1,1,0,1,1,1,1,1,1,0,0,0,n/a,n/a,25,0,100,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,2026-08-11T11:36:15.188+02:00,2026-08-11T11:36:55.325+02:00,2026-08-11,enketo.moda.wfp.org:PLOVOaSrnpIVCwLW,uuid:36b32b24-a1fd-4d84-9ca0-a78e9d84fef8,92652017,36b32b24-a1fd-4d84-9ca0-a78e9d84fef8,2026-08-11T09:36:55.551657+00:00,2026-08-11T09:36:55.601827+00:00,,,202608110932,40.0,laramoreschi,,0,0,True,391655
2026-08-11,1,1,1,0,1,1,1,1,1,1,1,0,0,n/a,n/a,46,1,100,n/a,n/a,n/a,n/a,n/a,n/a,0,1,1,9999,0,1,0,0,1,1,0,0,1,0,0,2026-08-11T11:36:55.342+02:00,2026-08-11T11:38:19.320+02:00,2026-08-11,enketo.moda.wfp.org:PLOVOaSrnpIVCwLW,uuid:479427af-7a88-48e8-8f3c-e6c1003edf5e,92652076,479427af-7a88-48e8-8f3c-e6c1003edf5e,2026-08-11T09:38:19.667009+00:00,2026-08-11T09:38:19.756641+00:00,,,202608110932,84.0,laramoreschi,,0,0,True,391655
2026-08-11,1,1,1,1,1,1,1,1,1,1,1,0,1,n/a,n/a,21,0,200,n/a,n/a,n/a,n/a,n/a,n/a,1,9999,1,0,9999,1,1,1,0,1,0,0,1,1,1,2026-08-11T11:38:19.333+02:00,2026-08-11T11:39:17.978+02:00,2026-08-11,enketo.moda.wfp.org:PLOVOaSrnpIVCwLW,uuid:9ca4f975-e49d-47e3-8980-d41117c67249,92652087,9ca4f975-e49d-47e3-8980-d41117c67249,2026-08-11T09:39:18.181681+00:00,2026-08-11T09:39:18.237722+00:00,,,202608110932,58.0,laramoreschi,,0,0,True,391655
2026-08-11,1,1,1,0,1,1,1,1,1,1,0,0,1,n/a,n/a,60,1,400,n/a,n/a,n/a,n/a,n/a,n/a,0,1,1,1,1,9999,0,0,1,1,1,1,0,0,0,2026-08-11T11:39:17.989+02:00,2026-08-11T11:40:53.335+02:00,2026-08-11,enketo.moda.wfp.org:PLOVOaSrnpIVCwLW,uuid:7b8a47a1-18d1-44db-967d-478d81f66196,92652224,7b8a47a1-18d1-44db-967d-478d81f66196,2026-08-11T09:40:53.679389+00:00,2026-08-11T09:40:53.774327+00:00,,,202608110932,96.0,laramoreschi,,0,0,True,391655
2026-08-11,1,1,1,0,1,1,1,1,1,1,1,0,0,n/a,n/a,34,0,100,n/a,n/a,n/a,n/a,n/a,n/a,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,2026-08-11T11:40:53.345+02:00,2026-08-11T11:41:47.062+02:00,2026-08-11,enketo.moda.wfp.org:PLOVOaSrnpIVCwLW,uuid:e8577369-1195-470f-981a-c9d258287980,92652448,e8577369-1195-470f-981a-c9d258287980,2026-08-11T09:41:47.270393+00:00,2026-08-11T09:41:47.328325+00:00,,,202608110932,54.0,laramoreschi,,0,0,True,391655
2026-08-11,1,1,1,1,1,1,1,1,1,1,1,0,0,n/a,n/a,52,1,100,n/a,n/a,n/a,n/a,n/a,n/a,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,2026-08-11T11:41:47.073+02:00,2026-08-11T11:42:42.287+02:00,2026-08-11,enketo.moda.wfp.org:PLOVOaSrnpIVCwLW,uuid:c0ac776e-9514-4a47-9180-906cd9240cdc,92652642,c0ac776e-9514-4a47-9180-906cd9240cdc,2026-08-11T09:42:42.511199+00:00,2026-08-11T09:42:42.574813+00:00,,,202608110932,55.0,laramoreschi,,0,0,True,391655
2026-08-11,1,1,1,1,1,1,1,1,1,1,0,1,0,n/a,n/a,25,0,100,n/a,n/a,n/a,n/a,n/a,n/a,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,2026-08-11T11:42:42.299+02:00,2026-08-11T11:43:22.206+02:00,2026-08-11,enketo.moda.wfp.org:PLOVOaSrnpIVCwLW,uuid:d24958e0-7455-44f2-82ae-75b8fc01cdb4,92652763,d24958e0-7455-44f2-82ae-75b8fc01cdb4,2026-08-11T09:43:22.427198+00:00,2026-08-11T09:43:22.489640+00:00,,,202608110932,40.0,laramoreschi,,0,0,True,391655
2026-08-11,1,1,1,0,1,1,1,1,1,1,0,0,1,n/a,n/a,41,1,100,n/a,n/a,n/a,n/a,n/a,n/a,1,9999,9999,1,0,1,1,0,0,0,1,0,1,1,0,2026-08-11T11:43:22.221+02:00,2026-08-11T11:45:59.252+02:00,2026-08-11,enketo.moda.wfp.org:PLOVOaSrnpIVCwLW,uuid:af913846-1fc4-4c61-812c-1b02eddb1008,92652944,af913846-1fc4-4c61-812c-1b02eddb1008,2026-08-11T09:45:59.596668+00:00,2026-08-11T09:45:59.658915+00:00,,,202608110932,157.0,laramoreschi,,0,0,True,391655
